Symbol,Previous Close,Last Price,Change,% Change,Market Cap,Year High,Year Low
BHARTIARTL,1425.75,1434.0,8.25,0.58,3737326230105.69,1455.95,819.0
COLPAL,2936.2,2953.0,16.8,0.57,394088144671.62,3069.05,1625.0
UNITDSPR,1275.45,1282.55,7.1,0.56,369494233324.0,1334.85,888.3
AXISBANK,1174.65,1180.95,6.3,0.54,3356997093759.32,1242.2,927.15
LUPIN,1605.45,1614.0,8.55,0.53,387425504790.69,1728.0,809.95
TRENT,5023.85,5050.05,26.2,0.52,1158213696684.1,5294.0,1657.45
TITAN,3472.2,3490.0,17.8,0.51,1473343277551.2,3886.95,2882.45
COFORGE,5273.25,5300.0,26.75,0.51,342854219510.85,6847.45,4287.25
PFC,503.55,506.1,2.55,0.51,739090790169.6,559.0,155.4
IEX,178.25,179.15,0.9,0.5,135936328218.91,182.55,119.0
NESTLEIND,2551.75,2564.6,12.85,0.5,905401422669.6,2769.3,2145.0
SIEMENS,7396.6,7433.5,36.9,0.5,693188076357.5,7913.05,3246.0
EXIDEIND,542.3,545.0,2.7,0.5,244261100000.0,549.9,206.15
WIPRO,482.6,485.0,2.4,0.5,673776310540.78,545.9,375.05
ALKEM,5089.7,5114.95,25.25,0.5,255862165230.0,5578.8,3307.2
VOLTAS,1482.65,1490.0,7.35,0.5,341552464017.6,1511.95,745.0
CUB,148.27,149.0,0.73,0.49,108989130001.7,167.8,119.5
ICICIPRULI,596.15,599.0,2.85,0.48,238529859910.27,640.85,463.45
